city,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
 RIYADH,north,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,"80,000"
 RIYADH,south,370,0,4,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,"60,000"
 RIYADH,south,380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,"60,000"
 RIYADH,west,250,0,5,5,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,"55,000"
 RIYADH,west,400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,"70,000"
 RIYADH,east,250,25,5,4,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,"45,000"
 RIYADH,north,250,0,5,5,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,"45,000"
 RIYADH,north,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,"80,000"
 RIYADH,south east,288,6,5,5,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,"37,000"
 RIYADH,south west,250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,"150,000"
 RIYADH,north,290,0,3,5,3,1,1,1,1,1,1,0,0,1,0,1,0,0,0,"150,000"
 RIYADH,east,400,0,5,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,"90,000"
 RIYADH,north,840,0,5,5,2,1,1,1,1,0,1,1,1,0,0,0,1,1,0,"150,000"
 RIYADH,south,440,0,5,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,"90,000"
 RIYADH,east,500,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,"70,000"
 RIYADH,east,900,20,7,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,"250,000"
 RIYADH,north west,377,0,7,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,"76,000"
 RIYADH,south west,750,28,7,5,3,1,1,1,1,0,0,1,1,1,0,0,0,0,1,"80,000"
 RIYADH,north,250,0,5,5,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,"85,000"
 RIYADH,north,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 RIYADH,south,339,9,4,5,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,120000
 RIYADH,south,350,0,3,3,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,65000
 RIYADH,north,200,10,4,5,2,1,0,1,1,0,1,0,0,0,0,1,1,0,0,90000
 RIYADH,east,220,0,4,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
 RIYADH,east,900,20,5,5,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,200000
 RIYADH,north west,290,0,7,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,90000
 RIYADH,west,400,18,5,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,150000
 RIYADH,west,375,13,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,80000
 RIYADH,east,200,5,7,5,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,50000
 RIYADH,north,450,12,7,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,130000
 RIYADH,west,360,0,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,45000
 RIYADH,west,250,0,5,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,55000
 RIYADH,east,270,0,4,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,100000
 RIYADH,north west,350,0,4,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,40000
 RIYADH,south west,400,0,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,40000
 RIYADH,north,200,0,4,5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,120000
 RIYADH,north,300,3,4,3,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,110000
 RIYADH,west,300,0,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,70000
 RIYADH,north,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 RIYADH,west,300,5,5,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,45000
 RIYADH,north,300,0,7,5,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,125000
 RIYADH,west,250,0,5,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,55000
 RIYADH,west,375,10,4,5,3,1,1,1,1,0,1,0,1,1,1,1,1,0,0,110000
 RIYADH,north,300,0,4,4,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,45000
 RIYADH,south,312,0,3,4,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,65000
 RIYADH,south,312,0,5,5,5,0,1,1,1,1,0,1,1,1,0,0,1,0,0,50000
 RIYADH,west,300,0,3,5,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
 RIYADH,north,400,0,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000
 RIYADH,west,250,0,5,5,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,55000
 RIYADH,west,250,0,5,5,2,0,1,1,0,0,0,1,0,0,0,1,1,0,0,55000
 RIYADH,south west,327,10,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000
 RIYADH,north,336,0,5,5,2,1,1,1,1,0,1,0,1,1,0,0,0,1,0,140000
 RIYADH,east,325,7,5,5,4,1,1,0,1,0,1,1,0,1,0,0,1,0,0,90000
 RIYADH,south,325,2,4,4,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,50000
 RIYADH,north,312,9,6,5,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,85000
 RIYADH,north west,500,8,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,50000
 RIYADH,north,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 RIYADH,south,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
 RIYADH,north east,450,0,5,4,3,1,1,1,0,0,1,1,0,1,1,0,1,0,0,110000
 RIYADH,north,600,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,180000
 RIYADH,north,500,27,5,5,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,115000
 RIYADH,east,360,0,6,3,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
 RIYADH,west,400,10,3,4,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,80000
 RIYADH,north east,450,0,5,5,3,1,1,1,1,0,1,1,0,1,0,0,1,0,0,110000
 RIYADH,east,200,2,7,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,65000
 RIYADH,south,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
 RIYADH,south,200,3,5,5,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,85000
 RIYADH,east,375,0,4,5,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,110000
 RIYADH,north west,650,5,7,5,3,1,1,0,1,0,1,1,1,1,1,0,1,0,1,120000
 RIYADH,north east,900,4,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,300000
 RIYADH,south,360,2,4,3,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,55000
 RIYADH,west,330,10,5,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,79000
 RIYADH,east,500,0,5,4,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,35000
 RIYADH,north,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 RIYADH,north,325,12,5,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,50000
 RIYADH,west,310,0,7,4,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,56000
 RIYADH,west,220,9,4,4,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
 RIYADH,west,250,15,7,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,40000
 RIYADH,east,200,3,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,85000
 RIYADH,east,298,0,3,4,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,45000
 RIYADH,south,300,0,6,5,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,40000
 RIYADH,east,250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000
 RIYADH,south,300,6,4,5,3,1,1,1,1,0,1,0,0,1,1,1,0,0,0,120000
 RIYADH,north east,580,20,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,150000
 RIYADH,east,230,0,3,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000
 RIYADH,north,460,0,5,5,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,400000
 RIYADH,east,228,0,4,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,150000
 RIYADH,north,200,4,5,5,2,1,1,1,1,1,1,1,0,1,0,1,1,0,1,110000
 RIYADH,north east,350,4,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,1,125000
 RIYADH,south west,300,7,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,125000
 RIYADH,north,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 RIYADH,north,600,5,7,5,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,140000
 RIYADH,east,298,0,5,5,3,1,1,0,1,0,0,1,0,1,0,1,1,0,0,50000
 RIYADH,north,300,0,4,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,45000
 RIYADH,south,300,0,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,85000
 RIYADH,north,1600,35,5,5,5,1,1,1,1,0,0,1,0,1,0,0,1,0,0,70000
 RIYADH,east,250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000
 RIYADH,east,375,3,5,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,110000
 RIYADH,east,300,15,7,5,2,0,1,1,1,0,0,0,0,1,0,1,1,0,0,50000
 RIYADH,west,3000,19,3,5,5,1,1,1,1,1,1,0,1,1,1,0,0,0,0,250000
 RIYADH,east,312,10,4,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,1,85000
 RIYADH,west,350,2,5,5,2,1,0,1,1,0,1,0,0,1,1,0,1,0,1,90000
 RIYADH,3 شوارع,1600,4,5,5,3,1,1,1,1,0,0,1,0,1,0,0,0,0,0,250000
 RIYADH,south,300,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000
 RIYADH,east,253,5,4,5,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000
 RIYADH,west,500,0,7,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,160000
 RIYADH,south,1000,25,5,5,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,160000
 RIYADH,north,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 RIYADH,west,300,0,4,4,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,85000
 RIYADH,south,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
 RIYADH,east,225,0,4,3,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,100000
 RIYADH,north,200,8,4,5,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,90000
 RIYADH,south,220,8,4,4,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,90000
 RIYADH,south,300,0,4,5,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0,85000
 RIYADH,north east,280,0,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,42000
 RIYADH,east,270,30,3,5,3,1,1,1,1,0,1,0,0,1,0,1,1,0,0,70000
 RIYADH,south,312,4,5,5,2,1,1,0,1,1,1,0,0,1,0,0,1,1,0,90000
 RIYADH,north,400,0,4,5,3,1,1,1,1,1,1,0,1,1,0,0,1,0,0,400000
 RIYADH,east,375,11,4,5,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,95000
 RIYADH,north,300,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,0,1,1,120000
 RIYADH,east,450,3,7,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,60000
 RIYADH,north,200,7,3,5,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31000
 RIYADH,north,384,0,5,5,2,1,1,1,1,0,0,1,0,0,0,0,1,0,1,80000
 RIYADH,west,250,0,5,5,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,55000
 RIYADH,north,686,25,5,5,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,150000
 RIYADH,north,425,33,4,3,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,80000
 RIYADH,south west,300,0,4,5,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,37000
 RIYADH,north,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 RIYADH,south,360,0,5,5,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,110000
 RIYADH,south,312,0,3,4,2,1,1,0,1,0,0,1,0,1,0,0,1,1,0,65000
 RIYADH,north,390,5,7,5,4,1,1,1,1,0,1,0,0,1,0,0,1,0,0,130000
 RIYADH,south,280,3,4,3,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,3300
 RIYADH,south,200,2,6,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
 RIYADH,east,230,0,5,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,85000
 RIYADH,4 شوارع,360,0,4,3,2,1,1,0,0,1,1,0,1,1,0,0,1,0,0,75000
 RIYADH,north,312,2,3,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,145000
 RIYADH,east,460,4,5,5,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,75000
 RIYADH,west,300,2,3,5,2,1,1,1,1,0,1,0,1,1,0,0,0,0,0,220000
 RIYADH,south,250,0,5,5,2,0,1,0,1,0,0,0,0,1,0,1,1,0,0,50000
